id,class,segmentation,case_id,day_id,slice_id,path,height,width
case118_day0_slice_0001,0,nan,118,0,0001,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0001_276_276_1.63_1.63.png,276,276
case118_day0_slice_0001,1,nan,118,0,0001,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0001_276_276_1.63_1.63.png,276,276
case118_day0_slice_0001,2,nan,118,0,0001,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0001_276_276_1.63_1.63.png,276,276
case118_day0_slice_0002,0,nan,118,0,0002,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0002_276_276_1.63_1.63.png,276,276
case118_day0_slice_0002,1,nan,118,0,0002,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0002_276_276_1.63_1.63.png,276,276
case118_day0_slice_0002,2,nan,118,0,0002,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0002_276_276_1.63_1.63.png,276,276
case118_day0_slice_0003,0,nan,118,0,0003,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0003_276_276_1.63_1.63.png,276,276
case118_day0_slice_0003,1,nan,118,0,0003,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0003_276_276_1.63_1.63.png,276,276
case118_day0_slice_0003,2,nan,118,0,0003,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0003_276_276_1.63_1.63.png,276,276
case118_day0_slice_0004,0,nan,118,0,0004,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0004_276_276_1.63_1.63.png,276,276
case118_day0_slice_0004,1,nan,118,0,0004,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0004_276_276_1.63_1.63.png,276,276
case118_day0_slice_0004,2,nan,118,0,0004,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0004_276_276_1.63_1.63.png,276,276
case118_day0_slice_0005,0,nan,118,0,0005,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0005_276_276_1.63_1.63.png,276,276
case118_day0_slice_0005,1,nan,118,0,0005,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0005_276_276_1.63_1.63.png,276,276
case118_day0_slice_0005,2,nan,118,0,0005,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0005_276_276_1.63_1.63.png,276,276
case118_day0_slice_0006,0,nan,118,0,0006,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0006_276_276_1.63_1.63.png,276,276
case118_day0_slice_0006,1,nan,118,0,0006,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0006_276_276_1.63_1.63.png,276,276
case118_day0_slice_0006,2,nan,118,0,0006,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0006_276_276_1.63_1.63.png,276,276
case118_day0_slice_0007,0,nan,118,0,0007,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0007_276_276_1.63_1.63.png,276,276
case118_day0_slice_0007,1,nan,118,0,0007,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0007_276_276_1.63_1.63.png,276,276
case118_day0_slice_0007,2,nan,118,0,0007,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0007_276_276_1.63_1.63.png,276,276
case118_day0_slice_0008,0,nan,118,0,0008,../BD-Image-Segmentation-Comp/train/case118/case118_day0/scans/slice_0008_276_276_1.63_1.63.png,276,276
